# doc = расшифровка_Роман.2.txt,,,,,,,,,,,,,,,,
# speaker = Роман,,,,,,,,,,,,,,,,
# sent = 2810,,,,,,,,,,,,,,,,
,И,И,CONJ,,,имитирует звук толпы  _И_ вышел  собсно,и,,,,,,CONJ,И,S - - nonflex -,И
,вышел,ВЫЙТИ,V pf act praet sg indic m -,,,имитирует звук толпы  И _вышел_  собсно,л,е,ш,ы,в,,V,ВЫЙТИ,V pf praet sg indic m -,И
"<distinct form=""",,,,,,,,,,,,,,,,
<dist>,собсно,,,,,,,,,,,,,,,
">																
	собственно	СОБСТВЕННО	ADV -			 собсно  _собственно_  Нойз МС	о	н	н	е	в	т	ADV	СОБСТВЕННО	ADV -	О
</distinct>																
	Нойз	НОЙЗ	S m anim nom sg			 собственно  _Нойз_ МС . 	з	й	о	н			S	НОЙЗ	S m anim nom sg	З
	МС	МС	S m inan nom sg			собственно  Нойз _МС_ .  	с	м					S	МС	S f inan nom sg	С
	.	.	PUNCT										PUNCT			
																
# sent = 2821																
<distinct form=",,,,,,,,,,,,,,,,
<dist>,Никда,,,,,,,,,,,,,,,
">																
	Никогда	НИКОГДА	ADV -			 Никда  _Никогда_  не слушал	а	д	г	о	к	и	ADV	НИКОГДА	ADV -	А
</distinct>																
	не	НЕ	PART			 Никогда  _не_ слушал этого человека	е	н					PART	НЕ	PART	Е
	слушал	СЛУШАТЬ	V ipf act praet sg indic m -			Никогда  не _слушал_ этого человека замечательного	л	а	ш	у	л	с	V	СЛУШАТЬ	V ipf praet sg indic m -	Ь
	этого	ЭТОТ	APRO - acc sg plen m anim			 не слушал _этого_ человека замечательного .	о	г	о	т	э		APRO	ЭТОТ	A - acc sg plen m anim	Т
	человека	ЧЕЛОВЕК	S m anim gen sg			не слушал этого _человека_ замечательного . 	а	к	е	в	о	л	S	ЧЕЛОВЕК	S m anim gen sg	К
	замечательного	ЗАМЕЧАТЕЛЬНЫЙ	A - acc sg plen m anim			слушал этого человека _замечательного_ .  	о	г	о	н	ь	л	A	ЗАМЕЧАТЕЛЬНЫЙ	A - acc sg plen m anim	Й
	.	.	PUNCT										PUNCT			
																
# sent = 2822																
	Слышал	СЛЫШАТЬ	V ipf act praet sg indic m -			.   _Слышал_  какда-та 	л	а	ш	ы	л	с	V	СЛЫШАТЬ	V ipf praet sg indic m -	Ь
<distinct form=",,,,,,,,,,,,,,,,
<dist>,какда-та,,,,,,,,,,,,,,,
">																
	когда-то	КОГДА-ТО	ADV -			 какда-та  _когда-то_  пару песен	о	т	-	а	д	г	ADV	КОГДА-ТО	ADV -	О
</distinct>																
	пару	ПАРА	S f inan acc sg			 когда-то  _пару_ песен , причём	у	р	а	п			S	ПАРА	S f inan acc sg	А
	песен	ПЕСНЯ	S f inan gen pl			когда-то  пару _песен_ , причём слышал	н	е	с	е	п		S	ПЕСНЯ	S f inan gen pl	Я
	,	,	PUNCT										PUNCT			
	причём	ПРИЧЕМ	CONJ			пару песен , _причём_ слышал очень часто	м	ё	ч	и	р	п	CONJ	ПРИЧЕМ	CONJ	М
	слышал	СЛЫШАТЬ	V ipf act praet sg indic m -			песен , причём _слышал_ очень часто и	л	а	ш	ы	л	с	V	СЛЫШАТЬ	V ipf praet sg indic m -	Ь
	очень	ОЧЕНЬ	ADV -			, причём слышал _очень_ часто и 	ь	н	е	ч	о		ADV	ОЧЕНЬ	ADV -	Ь
	часто	ЧАСТО	ADV -			причём слышал очень _часто_ и  даже	о	т	с	а	ч		ADV	ЧАСТО	ADV -	О
	и	И	CONJ			слышал очень часто _и_  даже знаю	и						CONJ	И	CONJ	И
<noindex>[нрзб]</noindex>																
	даже	ДАЖЕ	PART			часто и  _даже_ знаю их наизусть	е	ж	а	д			PART	ДАЖЕ	PART	Е
	знаю	ЗНАТЬ	V ipf act praes sg indic - 1p			и  даже _знаю_ их наизусть 	ю	а	н	з			V	ЗНАТЬ	V ipf praes sg indic - 1p	Ь
	их	ОНИ	SPRO pl - - acc			 даже знаю _их_ наизусть  смотрит вверх	х	и					SPRO	ОНИ	SPRO pl - - acc	И
	наизусть	НАИЗУСТЬ	ADV -			даже знаю их _наизусть_  смотрит вверх 	ь	т	с	у	з	и	ADV	НАИЗУСТЬ	ADV -	Ь
<span class=note"">",,,,,,,,,,,,,,,,
<note>,смотрит вверх,,,,,,,,,,,,,,,
